person,cause_of_death,date,year,canine,dept_name,states_death
Deputy Sheriff Kevan Maurice Ward,Gunfire,1990-01-02,1990,FALSE,Lauderdale County Sheriff's Office,Tennessee
Trooper April C. Styburski,Fall,1990-01-05,1990,FALSE,Illinois State Police,Illinois
Patrolman Joshua Lee Milligan,Stabbed,1990-01-06,1990,FALSE,St. Stephen Police Department,South Carolina
Immigration Inspector Reynaldo G. De La Garza,Automobile accident,1990-01-07,1990,FALSE,United States Department of Justice - Immigration and Naturalization Service,NA
Investigator Terry N. Thuma,Gunfire,1990-01-09,1990,FALSE,Orlando Police Department,Florida
Correctional Officer William E. Donaldson,Stabbed,1990-01-12,1990,FALSE,Alabama Department of Corrections,Alabama
"Corporal Harry Leroy Kinikin, Jr.",Stabbed,1990-01-13,1990,FALSE,Prince George's County Police Department,Maryland
Patrolman John Joseph Kerr,Gunfire,1990-01-14,1990,FALSE,Union City Police Department,Pennsylvania
Trooper Randy Joe Littlefield,Struck by vehicle,1990-01-15,1990,FALSE,Oklahoma Highway Patrol,Oklahoma
Trooper Raymond L. Hawn,Struck by vehicle,1990-01-17,1990,FALSE,Washington State Patrol,Washington
Special Agent L. Douglas Abram,Gunfire,1990-01-19,1990,FALSE,United States Department of Justice - Federal Bureau of Investigation,NA
Correctional Officer Walter Owen Fulford,Accidental,1990-01-24,1990,FALSE,Georgia Department of Corrections,Georgia
Deputy Sheriff Thomas Alan Cone,Vehicular assault,1990-01-25,1990,FALSE,Edgecombe County Sheriff's Office,North Carolina
Officer Philip J. Stabile,Assault,1990-01-26,1990,FALSE,Long Beach Community College District Police Department,California
Lieutenant Joseph Francis Adamy,Vehicular assault,1990-01-27,1990,FALSE,Amherst Police Department,New York
Special Agent Douglas John Morris,Struck by train,1990-01-28,1990,FALSE,United States Department of the Interior - Fish and Wildlife Service - Office of Law Enforcement,NA
Postal Inspector Terrance M. Asbury,Automobile accident,1990-02-03,1990,FALSE,United States Postal Inspection Service,NA
Sergeant Timothy David White,Assault,1990-02-04,1990,FALSE,Stockton Police Department,California
Officer Pablo Navarro-DeLeon,Gunfire,1990-02-09,1990,FALSE,Puerto Rico Police Department,NA
Police Officer Robert Louis Shultis,Struck by vehicle,1990-02-10,1990,FALSE,San Bernardino Police Department,California
Police Officer Luis Morales-Rivera,Struck by vehicle,1990-02-13,1990,FALSE,Puerto Rico Police Department,NA
Officer Roy O'Neal Coleman,Heart attack,1990-02-14,1990,FALSE,Butler Police Department,Alabama
Detective Dennis J. Wustenhoff,Bomb,1990-02-15,1990,FALSE,Suffolk County Police Department,New York
"Deputy John W. Greeney, III",Gunfire,1990-02-17,1990,FALSE,Broward County Sheriff's Office,Florida
Inspector Timothy Cal McCaghren,Vehicular assault,1990-02-19,1990,FALSE,United States Department of the Treasury - Customs Service,NA
Deputy Sheriff William Ricky Hudson,Vehicle pursuit,1990-02-22,1990,FALSE,Ben Hill County Sheriff's Office,Georgia
Deputy Sheriff Ethelbert Wainscott,Heart attack,1990-02-24,1990,FALSE,Jessamine County Sheriff's Department,Kentucky
Officer Anthony James Cilurso,Vehicular assault,1990-03-05,1990,FALSE,Warner Robins Police Department,Georgia
Police Officer Sherdard Raymund Brison,Gunfire,1990-03-05,1990,FALSE,Detroit Police Department,Michigan
Investigator Joseph Thomas Aversa,Gunfire (Accidental),1990-03-05,1990,FALSE,New York State Police,New York
Sergeant Charles Lendy Freeman,Assault,1990-03-06,1990,FALSE,Aiken County Sheriff's Office,South Carolina
Chief of Police Orville Edwin Sharbono,Gunfire,1990-03-17,1990,FALSE,Fairview Police Department,Montana
"Patrolman Thomas J. Duggan, Sr.",Assault,1990-03-19,1990,FALSE,Lawrence Police Department,Massachusetts
Deputy Sheriff Thomas L. Reuter,Gunfire,1990-03-19,1990,FALSE,Grant County Sheriff's Department,Wisconsin
Trooper Kevin J. Mallon,Automobile accident,1990-03-20,1990,FALSE,Delaware State Police,Delaware
"Police Officer Earl Joseph Hauck, II",Gunfire,1990-03-22,1990,FALSE,New Orleans Police Department,Louisiana
"Corporal Theodore Dennis Wolf, Sr.",Gunfire,1990-03-29,1990,FALSE,Maryland State Police,Maryland
Officer Isidro Lugo-Suarez,Gunfire,1990-04-06,1990,FALSE,Puerto Rico Police Department,NA
Officer Carlos Correa-Serrano,Gunfire,1990-04-07,1990,FALSE,Puerto Rico Police Department,NA
Deputy Sheriff David Lee Braunholz,Automobile accident,1990-04-09,1990,FALSE,Fort Bend County Sheriff's Office,Texas
Sergeant Gary Dale Wilson,Gunfire,1990-04-10,1990,FALSE,Duluth Police Department,Minnesota
Trooper Duane L. Grundy,Struck by vehicle,1990-04-11,1990,FALSE,Oklahoma Highway Patrol,Oklahoma
Detective Albert Leppert,Heart attack,1990-04-11,1990,FALSE,North Charleston Police Department,South Carolina
Patrolman Grady Morris Lamb,Gunfire (Accidental),1990-04-11,1990,FALSE,Cedar Hill Police Department,Texas
Police Officer Roger Carl Henarie,Automobile accident,1990-04-13,1990,FALSE,San Antonio Police Department,Texas
"Commander Isiah Nelson, III",Motorcycle accident,1990-04-14,1990,FALSE,San Francisco Police Department,California
Deputy Sheriff Rodney Kevin Kinzy,Gunfire,1990-04-17,1990,FALSE,Washington County Sheriff's Office,Ohio
Deputy Sheriff Russell Richard Bell,Gunfire,1990-04-17,1990,FALSE,Beaufort County Sheriff's Department,South Carolina
Deputy Danny Lee Elbert,Gunfire,1990-04-19,1990,FALSE,Johnson County Sheriff's Office,Georgia
Police Officer Joseph Preston Martin,Gunfire,1990-04-27,1990,FALSE,Metro-Dade Police Department,Florida
Deputy Sheriff Donald Terry Garrison,Automobile accident,1990-04-27,1990,FALSE,Cobb County Sheriff's Office,Georgia
Officer Donald Lee Ferguson,Vehicular assault,1990-04-28,1990,FALSE,Albany Police Department,Kentucky
Lieutenant Thomas James Leis,Exposure to toxins,1990-04-29,1990,FALSE,Metro-Dade Police Department,Florida
Chief of Police Herman Dewayne Justus,Vehicle pursuit,1990-05-05,1990,FALSE,West Taylor Township Police Department,Pennsylvania
Police Officer Michael Ross Okelberry,Automobile accident,1990-05-06,1990,FALSE,Dallas Police Department,Texas
Police Officer Thomas G. Burchfield,Automobile accident,1990-05-06,1990,FALSE,Dallas Police Department,Texas
Officer Ronald Shigeru Jitchaku,Assault,1990-05-07,1990,FALSE,Hawaii County Police Department,Hawaii
Officer Johnny Boyd Smith,Automobile accident,1990-05-09,1990,FALSE,Frostproof Police Department,Florida
Deputy Sheriff Thomas Allen Ingram,Vehicular assault,1990-05-12,1990,FALSE,Orange County Sheriff's Office,Florida
"Sergeant Joseph Elmer Stine, Jr.",Heart attack,1990-05-12,1990,FALSE,Charles County Sheriff's Office,Maryland
Police Officer Raymond C. Kilroy,Gunfire,1990-05-13,1990,FALSE,Chicago Police Department,Illinois
Police Officer Gregory A. Hauser,Gunfire,1990-05-13,1990,FALSE,Chicago Police Department,Illinois
Sergeant Michael S. Monoc,Heart attack,1990-05-16,1990,FALSE,Sharon Police Department,Pennsylvania
Corporal Willie Dale Taylor,Automobile accident,1990-05-19,1990,FALSE,Texas Department of Public Safety - Texas Highway Patrol,Texas
"Deputy Sheriff Jesse Earl McFarland, III",Automobile accident,1990-05-21,1990,FALSE,Liberty County Sheriff's Department,Texas
"Park Ranger Robert Lewis McGhee, Jr.",Gunfire,1990-05-26,1990,FALSE,United States Department of the Interior - National Park Service,NA
Game Warden Franklin Bruce Hill,Drowned,1990-05-26,1990,FALSE,Texas Parks and Wildlife Department - Law Enforcement Division,Texas
Game Warden William Barry Decker,Drowned,1990-05-26,1990,FALSE,Texas Parks and Wildlife Department - Law Enforcement Division,Texas
Police Officer Rodney L. Bennett,Motorcycle accident,1990-05-28,1990,FALSE,Detroit Police Department,Michigan
Deputy Sheriff Willie Ward Christian,Automobile accident,1990-05-29,1990,FALSE,Pecos County Sheriff's Department,Texas
Lieutenant Troy Duaine Woodall,Aircraft accident,1990-05-30,1990,FALSE,Alabama Alcoholic Beverage Control Board,Alabama
Special Agent Michael Lloyd Rector,Gunfire,1990-05-31,1990,FALSE,Tennessee Commercial Vehicle Enforcement Division,Tennessee
Patrolman Glayton Mitchell Parker,Gunfire,1990-05-31,1990,FALSE,Sullivan County Sheriff's Department,Tennessee
Deputy Sheriff Donald Hill,Automobile accident,1990-05-31,1990,FALSE,Val Verde County Sheriff's Office,Texas
Police Officer Winfred S. Hunter,Gunfire,1990-06-04,1990,FALSE,Philadelphia Police Department,Pennsylvania
Conservation Warden Andrew A. Krakow,Gunfire,1990-06-05,1990,FALSE,Wisconsin Department of Natural Resources,Wisconsin
Corrections Employee Beverly Jo Taylor,Stabbed,1990-06-07,1990,FALSE,Ohio Department of Rehabilitation and Correction,Ohio
Police Officer Lorenzo L. Rodgers,Gunfire,1990-06-12,1990,FALSE,St. Louis Metropolitan Police Department,Missouri
Deputy Sheriff Janet Louise Rogers,Gunfire,1990-06-14,1990,FALSE,Big Horn County Sheriff's Department,Montana
Police Officer Joaquin Montijo,Gunfire,1990-06-15,1990,FALSE,Philadelphia Police Department,Pennsylvania
Officer James Harry McKnight,Gunfire,1990-06-16,1990,FALSE,West Sacramento Police Department,California
Investigator Steven Paul Bolyard,Gunfire,1990-06-18,1990,FALSE,Florida State Attorney's Office - 1st Judicial Circuit,Florida
Special Agent Paul F. Cavanagh,Aircraft accident,1990-06-19,1990,FALSE,United States Department of Justice - Federal Bureau of Investigation,NA
"Trooper Joseph Francis Moynihan, Jr.",Aircraft accident,1990-06-19,1990,FALSE,Massachusetts State Police,Massachusetts
Police Officer Patrick O. Briggs,Vehicle pursuit,1990-06-20,1990,FALSE,Phoenix Police Department,Arizona
Officer Tommy De La Rosa,Gunfire,1990-06-21,1990,FALSE,Fullerton Police Department,California
"Police Officer Michael W. Burson, Sr.",Motorcycle accident,1990-06-23,1990,FALSE,Orlando Police Department,Florida
Special Agent John Lawrence Bailey,Gunfire,1990-06-25,1990,FALSE,United States Department of Justice - Federal Bureau of Investigation,NA
Deputy Sheriff James Boyakin Barnett,Gunfire,1990-06-26,1990,FALSE,Simpson County Sheriff's Department,Mississippi
Police Officer James Bruce Irby,Gunfire,1990-06-27,1990,FALSE,Houston Police Department,Texas
Police Officer Johnny L. Martin,Gunfire,1990-06-28,1990,FALSE,Chicago Police Department,Illinois
Officer Eladio Rivera-Osorio,Vehicular assault,1990-06-30,1990,FALSE,Puerto Rico Police Department,NA
Sergeant Glenn Hobart Haas,Gunfire,1990-07-02,1990,FALSE,Gothenburg Police Department,Nebraska
Patrolman John T. Miller,Vehicular assault,1990-07-04,1990,FALSE,Del Rio Police Department,Texas
"Sergeant Charles Ebert Murray, Jr.",Struck by train,1990-07-09,1990,FALSE,Fauquier County Sheriff's Office,Virginia
Chief of Police James Leonard McCulloch,Automobile accident,1990-07-21,1990,FALSE,Trinity Police Department,Alabama
Sergeant Danny L. Tunney,Vehicular assault,1990-07-26,1990,FALSE,Phoenix Police Department,Arizona
Sergeant John Wayne Domblisky,Vehicular assault,1990-07-26,1990,FALSE,Phoenix Police Department,Arizona
Officer Warren Corway Sanders,Gunfire,1990-07-26,1990,FALSE,Jacksonville Sheriff's Office,Florida
Trooper Joseph Earl Nicolle,Aircraft accident,1990-07-26,1990,FALSE,Oklahoma Highway Patrol,Oklahoma
Trooper Kenneth A. Maloney,Automobile accident,1990-07-28,1990,FALSE,Ohio State Highway Patrol,Ohio
Patrolman Scott Adams Winters,Gunfire,1990-07-29,1990,FALSE,Pompano Beach Police Department,Florida
Captain Ted L. Dotson,Aircraft accident,1990-08-01,1990,FALSE,Eufaula Police Department,Alabama
Deputy Walter A. Sutton,Aircraft accident,1990-08-01,1990,FALSE,Barbour County Sheriff's Department,Alabama
Police Officer Milus Terry Lyles,Gunfire,1990-08-06,1990,FALSE,Charlotte Police Department,North Carolina
Police Officer Henry Larry Caraballo,Gunfire,1990-08-12,1990,FALSE,Pearson Police Department,Georgia
Patrol Officer Robert Louis John,Struck by train,1990-08-16,1990,FALSE,Galveston Police Department,Texas
"Sergeant Patrick Elton Roberts, Jr.",Duty related illness,1990-08-17,1990,FALSE,Brazoria County Sheriff's Office,Texas
"Deputy Ruben Valles Carbajal, Jr.",Automobile accident,1990-08-20,1990,FALSE,Dona Ana County Sheriff's Department,New Mexico
Officer Harry Cantave,Stabbed,1990-08-22,1990,FALSE,New York City Health and Hospital Police Department,New York
Corporal Kevin Weadock Barleycorn,Gunfire (Accidental),1990-08-24,1990,FALSE,University of Arizona Police Department,Arizona
Petty Officer Matthew Harold Baker,Aircraft accident,1990-08-24,1990,FALSE,United States Coast Guard Office of Law Enforcement,NA
Lieutenant Craig Eric Lerner,Aircraft accident,1990-08-24,1990,FALSE,United States Coast Guard Office of Law Enforcement,NA
Lieutenant Paul Erik Perlt,Aircraft accident,1990-08-24,1990,FALSE,United States Coast Guard Office of Law Enforcement,NA
Lieutenant Duane Elmer Stenbak,Aircraft accident,1990-08-24,1990,FALSE,United States Coast Guard Office of Law Enforcement,NA
"Game Warden Johnny Ray Maisano, Sr.",Duty related illness,1990-08-26,1990,FALSE,Oklahoma Department of Wildlife Conservation,Oklahoma
Deputy Sheriff Blake V. Wright,Fire,1990-08-26,1990,FALSE,Wasatch County Sheriff's Office,Utah
"Reserve Officer James Boyd Cook, Jr.",Gunfire (Accidental),1990-08-30,1990,FALSE,Westlake Police Department,Louisiana
Officer David George Gabrielli,Vehicular assault,1990-08-31,1990,FALSE,Arizona Department of Public Safety,Arizona
Sergeant John M. Blaser,Vehicular assault,1990-08-31,1990,FALSE,Arizona Department of Public Safety,Arizona
Lieutenant Donald Albert Bezenah,Vehicular assault,1990-08-31,1990,FALSE,St. Clair County Sheriff's Department,Michigan
Police Officer Charles Blackburn Autry,Heart attack,1990-09-05,1990,FALSE,Cocoa Beach Police Department,Florida
Officer Pedro Sanchez-Lopez,Gunfire,1990-09-06,1990,FALSE,Puerto Rico Police Department,NA
Officer Jose Bernabe-Gonzalez,Gunfire,1990-09-06,1990,FALSE,Puerto Rico Police Department,NA
Trooper Gerard T. Dowd,Automobile accident,1990-09-11,1990,FALSE,Delaware State Police,Delaware
Deputy Paul Robert Bush,Gunfire,1990-09-13,1990,FALSE,Santa Clara County Sheriff's Office,California
Trooper Mark Jeffrey Phebus,Gunfire,1990-09-17,1990,FALSE,Texas Department of Public Safety - Texas Highway Patrol,Texas
Sergeant Robert Preston Palmer,Gunfire,1990-09-25,1990,FALSE,Elsmere Police Department,Kentucky
Sergeant Herbert Keith McKelvy,Automobile accident,1990-09-27,1990,FALSE,Marshall County Sheriff's Department,Alabama
Patrolman Delmar Warren Tooman,Gunfire,1990-09-29,1990,FALSE,Oklahoma City Police Department,Oklahoma
Officer James D. Swint,Vehicle pursuit,1990-10-01,1990,FALSE,Brunswick Police Department,Maine
Sergeant Thomas J. Fonte,Duty related illness,1990-10-02,1990,FALSE,Los Angeles County Sheriff's Department,California
Detective Russell Lee Kuster,Gunfire,1990-10-09,1990,FALSE,Los Angeles Police Department,California
Trooper Allen Patrick Nieland,Aircraft accident,1990-10-14,1990,FALSE,Iowa State Patrol,Iowa
Conservation Officer Thomas Jay Deniston,Aircraft accident,1990-10-16,1990,FALSE,Indiana Department of Natural Resources,Indiana
Officer Charles L. Pope,Gunfire,1990-10-19,1990,FALSE,Detroit Police Department,Michigan
Officer Roy Eugene Thurman,Motorcycle accident,1990-10-20,1990,FALSE,Honolulu Police Department,Hawaii
Parole Officer Gerald Wayne Moberly,Gunfire,1990-10-23,1990,FALSE,Louisiana Department of Corrections,Louisiana
Sergeant Robert Earl Matkin,Heart attack,1990-10-23,1990,FALSE,Woodville Police Department,Texas
Police Officer Richard E. Wagner,Heart attack,1990-10-25,1990,FALSE,Milwaukee Police Department,Wisconsin
Constable Edward Earl Flora,Gunfire,1990-10-26,1990,FALSE,Warren County Constable's Office,Kentucky
"Police Officer Wallie Howard, Jr.",Gunfire,1990-10-30,1990,FALSE,Syracuse Police Department,New York
Police Officer Sunny Ma Lov,Struck by vehicle,1990-11-04,1990,FALSE,Dallas Police Department,Texas
Officer Franklin Torres,Vehicular assault,1990-11-11,1990,FALSE,Puerto Rico Police Department,NA
Deputy Patrick Kelly Behan,Gunfire,1990-11-13,1990,FALSE,Broward County Sheriff's Office,Florida
Officer James Christopher O'Connor,Motorcycle accident,1990-11-15,1990,FALSE,California Highway Patrol,California
Sergeant Robert Michael Watts,Motorcycle accident,1990-11-15,1990,FALSE,Kansas City Police Department,Missouri
Lieutenant Cecilia M. Cipriani-Benefiel,Gunfire,1990-11-16,1990,FALSE,El Paso County Sheriff's Office,Colorado
"Deputy Sheriff Thaddeus A. Conner, Sr.",Struck by vehicle,1990-11-16,1990,FALSE,Spencer County Sheriff's Department,Indiana
Sergeant Michael R. Tourmo,Gunfire,1990-11-18,1990,FALSE,Milwaukee Police Department,Wisconsin
Officer Delford H. Kay,Automobile accident,1990-11-22,1990,FALSE,Ute Mountain Ute Tribal Police Department,NA
Officer Philip Michael Pennington,Gunfire,1990-11-22,1990,FALSE,Prince William County Police Department,Virginia
Police Officer John Anthony Salvaggio,Vehicular assault,1990-11-25,1990,FALSE,Houston Police Department,Texas
Sergeant James Thomas Blair,Motorcycle accident,1990-11-26,1990,FALSE,Pittsburgh Police Department,Pennsylvania
"Patrolman William John Pettit, Sr.",Vehicle pursuit,1990-12-02,1990,FALSE,Troutman Police Department,North Carolina
Officer Bruce Williams,Gunfire,1990-12-05,1990,FALSE,Detroit Police Department,Michigan
Officer Theron N. Houlditch,Struck by vehicle,1990-12-14,1990,FALSE,Mountain Brook Police Department,Alabama
Sergeant Charles Thomas Hammock,Gunfire,1990-12-18,1990,FALSE,Augusta Police Department,Georgia
Police Officer Garry A. Ross,Heart attack,1990-12-24,1990,FALSE,United States Department of Veterans Affairs Police Services,NA
Police Officer Freddie Dukes,Gunfire,1990-12-25,1990,FALSE,Philadelphia Police Department,Pennsylvania
"Lake Manager Hilton H. ""Ike"" Shoemake",Gunfire,1990-12-26,1990,FALSE,"Mississippi Department of Wildlife, Fisheries and Parks",Mississippi
Officer Shirley Denise Winston,Gunfire (Accidental),1990-12-31,1990,FALSE,Columbus Police Department,Georgia
"Officer William Elroy Reynolds, Jr.",Automobile accident,1990-12-31,1990,FALSE,Virginia Port Authority Police Department,Virginia
K9 Major,Struck by vehicle,1990-11-29,1990,TRUE,Florida Highway Patrol,Florida
Police Officer Robin H. Nye,Automobile accident,1991-01-04,1991,FALSE,Columbus Division of Police,Ohio
Sheriff Ben P. Murray,Stabbed,1991-01-06,1991,FALSE,Dimmit County Sheriff's Department,Texas
"Police Officer Eddie N. Jones, Jr.",Gunfire,1991-01-07,1991,FALSE,Chicago Police Department,Illinois
Sergeant Manuel Hurtado Tapia,Gunfire,1991-01-08,1991,FALSE,Arizona Department of Public Safety,Arizona
Officer Gregg William Winters,Gunfire,1991-01-08,1991,FALSE,Muncie Police Department,Indiana
Officer JoAnn Virginia Liscombe,Gunfire,1991-01-14,1991,FALSE,St. Louis County Police Department,Missouri
Sergeant Danny Thomas Parrish,Gunfire,1991-01-18,1991,FALSE,Fort Pierce Police Department,Florida
Special Agent Kevin Paul Hogan,Automobile accident,1991-01-18,1991,FALSE,Union Pacific Railroad Police Department,NA
Patrolman Gary Elmer Kidwell,Gunfire,1991-01-20,1991,FALSE,Stanford Police Department,Kentucky
Police Officer Carmelo Colon-Medina,Gunfire,1991-01-23,1991,FALSE,Puerto Rico Police Department,NA
"Constable Darrell Edward Lunsford, Sr.",Gunfire,1991-01-23,1991,FALSE,Nacogdoches County Constable's Office - Precinct 3,Texas
Deputy Jerry Arnold Martinez,Gunfire,1991-01-26,1991,FALSE,Rio Arriba County Sheriff's Department,New Mexico
Patrolman Glen Michael Huber,Gunfire,1991-01-26,1991,FALSE,New Mexico State Police,New Mexico
Police Officer Dexter L. Mardenborough,Gunfire,1991-01-27,1991,FALSE,Virgin Islands Police Department,NA
"Police Officer Ralph Henry Mock, Jr.",Automobile accident,1991-01-28,1991,FALSE,Hampton Township Police Department,Pennsylvania
Police Officer Steven Joseph Reuther,Gunfire,1991-02-04,1991,FALSE,Milan Police Department,Michigan
Patrolman Richard John Burchick,Gunfire,1991-02-06,1991,FALSE,Erie Police Department,Pennsylvania
Police Officer Daniel R. Boyle,Gunfire,1991-02-06,1991,FALSE,Philadelphia Police Department,Pennsylvania
Police Officer Tina Frances Kerbrat,Gunfire,1991-02-11,1991,FALSE,Los Angeles Police Department,California
Patrolman David E. Barnett,Gunfire,1991-02-13,1991,FALSE,Little Rock Police Department,Arkansas
Officer Chandler Sumner,Duty related illness,1991-02-13,1991,FALSE,Harrisonville Police Department,Missouri
Agent Efrain Hernandez de Leon,Gunfire,1991-02-20,1991,FALSE,Puerto Rico Police Department,NA
Deputy Michael L. Cole,Automobile accident,1991-02-26,1991,FALSE,El Dorado County Sheriff's Department,California
"Corporal William John Illingworth, Sr.",Automobile accident,1991-02-28,1991,FALSE,Cayce Police Department,South Carolina
Lieutenant Gregory A. Principe,Automobile accident,1991-03-01,1991,FALSE,Braintree Police Department,Massachusetts
Sergeant Ernest James DeCross,Automobile accident,1991-03-01,1991,FALSE,Braintree Police Department,Massachusetts
Agent Alejo Maldonado-Serrano,Gunfire,1991-03-04,1991,FALSE,Puerto Rico Police Department,NA
Trooper Carlos Ray Warren,Gunfire,1991-03-05,1991,FALSE,Texas Department of Public Safety - Texas Highway Patrol,Texas
Police Officer Thomas Lawrence Herron,Vehicle pursuit,1991-03-06,1991,FALSE,Pittsburgh Police Department,Pennsylvania
Police Officer Joseph John Grill,Vehicle pursuit,1991-03-06,1991,FALSE,Pittsburgh Police Department,Pennsylvania
Chief of Police Patrick Boden McCready,Gunfire,1991-03-10,1991,FALSE,Fairchild Police Department,Wisconsin
"Assistant Chief of Police Jim Ray Kennedy, Jr.",Heart attack,1991-03-13,1991,FALSE,Locust Police Department,North Carolina
Police Officer Darren Ahmed,Vehicular assault,1991-03-14,1991,FALSE,New Orleans Police Department,Louisiana
Officer Nancy Ellen Nichols,Struck by vehicle,1991-03-17,1991,FALSE,Naugatuck Police Department,Connecticut
Officer Eric King Wilson,Gunfire,1991-03-17,1991,FALSE,Aberdeen Police Department,Mississippi
Patrol Officer Sandra Ann Robbins,Automobile accident,1991-03-17,1991,FALSE,South Houston Police Department,Texas
Police Officer Waymon W. Ferguson,Heart attack,1991-03-18,1991,FALSE,Many Police Department,Louisiana
Lieutenant Glenn L. Barnes,Heart attack,1991-03-19,1991,FALSE,Washoe County Sheriff's Office,Nevada
Patrolman James Myron Suggs,Heart attack,1991-03-20,1991,FALSE,Pulaski Police Department,Tennessee
Police Officer William Steven Whalen,Gunfire,1991-03-22,1991,FALSE,Dayton Police Department,Ohio
"Deputy Sheriff Harry Jordan Dalton, Jr.",Gunfire,1991-03-25,1991,FALSE,Orange County Sheriff's Office,Florida
Senior Officer Specialist Daniel J. Bryer,Training accident,1991-03-29,1991,FALSE,United States Department of Justice - Federal Bureau of Prisons,NA
Detective Charles Edward Harris,Gunfire,1991-04-04,1991,FALSE,Southern Pines Police Department,North Carolina
Police Officer Carlos William Sepulveda-Caraballo,Gunfire,1991-04-05,1991,FALSE,Puerto Rico Police Department,NA
"Officer Wade C. Barrett, Jr.",Gunfire,1991-04-07,1991,FALSE,DeKalb County Police Department,Georgia
Deputy Sheriff David Delgado Castillo,Automobile accident,1991-04-11,1991,FALSE,Bexar County Sheriff's Office,Texas
Police Officer Robert T. D'Egidio,Heart attack,1991-04-12,1991,FALSE,Cornwall-on-Hudson Police Department,New York
Sergeant Bruno David Soboleski,Gunfire,1991-04-12,1991,FALSE,Houston Police Department,Texas
Patrol Officer David Allen Thurman,Gunfire,1991-04-14,1991,FALSE,Pineville Police Department,Missouri
Officer Scotty Lee Bennett,Gunfire,1991-04-15,1991,FALSE,Pocahontas Police Department,Arkansas
Deputy Sheriff Allen Arthur Albee,Gunfire,1991-04-19,1991,FALSE,Burnett County Sheriff's Department,Wisconsin
Chief Deputy Sheriff Ken Norris Meister,Gunfire,1991-04-20,1991,FALSE,Zavala County Sheriff's Department,Texas
Police Officer Douglas Scott Goeble,Gunfire,1991-04-20,1991,FALSE,San Antonio Police Department,Texas
Police Officer John Jantzen,Gunfire,1991-04-21,1991,FALSE,Suffolk County Police Department,New York
Deputy Sheriff Dennis Wayne Bryant,Vehicular assault,1991-04-22,1991,FALSE,Benton County Sheriff's Department,Washington
Captain Floyd Allen Riley,Aircraft accident,1991-04-23,1991,FALSE,Garland County Sheriff's Office,Arkansas
Sergeant Billy Ray Baruday,Aircraft accident,1991-04-23,1991,FALSE,Garland County Sheriff's Office,Arkansas
Officer Michael David Gartrell,Vehicle pursuit,1991-04-25,1991,FALSE,Sacramento Police Department,California
Police Officer Raymond E. Radel,Automobile accident,1991-04-25,1991,FALSE,Columbus Division of Police,Ohio
Trooper James Keith Stewart,Automobile accident,1991-04-27,1991,FALSE,Georgia State Patrol,Georgia
Patrolman Raymond Paul Rexer,Gunfire,1991-04-27,1991,FALSE,Bay City Police Department,Michigan
Patrolman Terry James Jablonski,Gunfire,1991-04-27,1991,FALSE,Bay City Police Department,Michigan
Police Officer Carmelo Ortiz-Rivera,Gunfire,1991-05-05,1991,FALSE,Puerto Rico Police Department,NA
Deputy Sheriff Christopher C. Willems,Gunfire,1991-05-12,1991,FALSE,Sedgwick County Sheriff's Office,Kansas
Trooper Douglas Wayne Tripp,Gunfire,1991-05-19,1991,FALSE,Tennessee Highway Patrol,Tennessee
"Deputy Sheriff Richard S. Cochran, II",Motorcycle accident,1991-05-22,1991,FALSE,King County Sheriff's Office,Washington
Deputy Sheriff Kenneth Mason McCarty,Automobile accident,1991-05-23,1991,FALSE,Bourbon County Sheriff's Department,Kentucky
Deputy Sheriff Douglas Gene Nanney,Vehicle pursuit,1991-05-24,1991,FALSE,Madison County Sheriff's Office,Tennessee
Lieutenant Thomas L. Kleis,Vehicle pursuit,1991-05-28,1991,FALSE,Beech Grove Police Department,Indiana
Trooper Russell A. Bagshaw,Gunfire,1991-06-05,1991,FALSE,Connecticut State Police,Connecticut
Captain Raymond Bussell Merritt,Gunfire,1991-06-08,1991,FALSE,Tift County Sheriff's Office,Georgia
Captain Stanley Delano Rhem,Gunfire,1991-06-10,1991,FALSE,New York City Department of Correction,New York
Officer Charles Brian Stafford,Gunfire,1991-06-11,1991,FALSE,Miami Springs Police Department,Florida
Police Officer Kenneth Michael Hansen,Drowned,1991-06-11,1991,FALSE,New York City Police Department,New York
Police Officer Gary Alan Howe,Aircraft accident,1991-06-13,1991,FALSE,Los Angeles Police Department,California
Police Officer Charles Randall Champe,Aircraft accident,1991-06-13,1991,FALSE,Los Angeles Police Department,California
"Deputy Harold Charles Voege, Jr.",Accidental,1991-06-16,1991,FALSE,Ripley County Sheriff's Department,Missouri
Corporal Robert Howard Hinson,Gunfire,1991-06-18,1991,FALSE,Columbus County Sheriff's Office,North Carolina
Chief of Police Ralph C. Brooks,Heart attack,1991-06-18,1991,FALSE,Antrim Police Department,New Hampshire
Police Officer Emilio Quinones-Santana,Gunfire,1991-06-19,1991,FALSE,Puerto Rico Police Department,NA
"Deputy U.S. Marshal Henry Burton ""Bud"" Carlson",Gunfire,1991-06-20,1991,FALSE,United States Department of Justice - United States Marshals Service,NA
Special Agent David Henry Feick,Struck by vehicle,1991-06-28,1991,FALSE,United States Department of the Treasury - Internal Revenue Service - Criminal Investigation,NA
Police Officer Richard Michael Leskie,Gunfire,1991-07-01,1991,FALSE,Detroit Police Department,Michigan
Agent Kenneth Dale Aycock,Drowned,1991-07-06,1991,FALSE,Louisiana Department of Wildlife and Fisheries,Louisiana
Trooper Kermit Fitzpatrick,Gunfire,1991-07-07,1991,FALSE,Michigan State Police,Michigan
